x,y,z
-0.0250503,-0.0962018,0.129436
0.0339851,-0.093432,0.129524
0.0816547,-0.0579498,0.129271
-0.0817375,-0.00902606,0.129518
-0.0295856,-0.0367576,0.129524
0.0291553,-0.0296429,0.129524
0.100091,-0.00186091,0.12899
-0.0294826,0.0315551,0.129512
0.0295163,0.0296552,0.129491
-0.0855929,0.0498984,0.129396
0.0827492,0.0551631,0.128737
-0.0413225,0.0899346,0.129524
0.0252465,0.0961318,0.129522
-0.0557695,-0.0827251,0.177796
0.00255216,-0.075387,0.177336
0.0611978,-0.0787861,0.180053
-0.092351,-0.0367072,0.180576
0.0950427,-0.0304812,0.179886
-0.0967706,0.0220006,0.180004
-0.0381855,0.0183477,0.186391
0.0374589,0.0274572,0.187888
0.0957784,0.0284371,0.178845
-0.0670443,0.0729773,0.180367
-0.00559037,0.06678,0.170444
0.0594099,0.0806541,0.175138
-0.0255258,-0.0962607,0.22665
0.0334066,-0.094252,0.229497
-0.0755024,-0.0646297,0.230223
0.0822149,-0.0570191,0.230553
-0.0340849,-0.0225798,0.228748
0.0197733,-0.0261307,0.20482
0.100246,0.000723435,0.229813
-0.087497,0.0465384,0.232723
-0.00355599,0.0429198,0.227422
0.0804389,0.0596313,0.226036
-0.0276405,0.0959395,0.217695
0.030881,0.0954562,0.22335
0.0109005,-0.0445373,0.26013
-0.0985827,-0.0110219,0.238592
-0.044163,0.0240288,0.265892
0.0438485,0.010754,0.244154
-0.0563193,0.0825448,0.267299
-0.000113869,0.100339,0.272482
-0.0463464,-0.0875912,0.281223
0.0113818,-0.0985078,0.283909
-0.0876233,-0.0460152,0.284802
0.0652621,-0.07492,0.283581
-0.0329941,-0.0260904,0.295031
0.0414875,-0.0118617,0.298648
0.0964055,-0.0253606,0.281648
-0.0990471,0.00906239,0.301418
0.0937059,0.0344604,0.27777
0.0139032,0.0426404,0.283823
0.056814,0.0823175,0.274789
-0.0157861,-0.0980439,0.33607
0.0422729,-0.0900499,0.33501
-0.0684861,-0.0719403,0.334234
0.0858064,-0.0502508,0.333653
-0.0294977,0.0293966,0.322837
0.0260695,0.0369756,0.341325
0.0992045,0.00778417,0.330151
-0.0786235,0.0617539,0.317659
0.0771305,0.0628265,0.326791
-0.0307453,0.0955802,0.321909
0.0282601,0.0958615,0.324303
-0.010433,-0.0404204,0.347673
-0.0967193,-0.0237075,0.352934
0.0429993,-0.0172556,0.357432
0.0974197,-0.0194145,0.382455
-0.0943006,0.03352,0.366847
-0.0457796,0.000260249,0.371746
0.0914563,0.0392036,0.379335
-0.0594461,0.0808523,0.370735
-0.00327101,0.100102,0.373717
0.0534578,0.0842332,0.376445
-0.0421952,-0.0897611,0.387788
0.0161877,-0.0978651,0.387082
-0.0839013,-0.0534144,0.407062
-0.0269804,-0.0392357,0.414258
0.0687877,-0.0715822,0.385685
0.031945,-0.0355028,0.414439
-0.100329,0.00212847,0.416219
0.0397371,0.0216347,0.401752
-0.0819965,0.0579317,0.419847
-0.0136419,0.0451603,0.392605
-0.0630476,-0.0776507,0.456456
